,Afirmação checada,Classificação
0,China se beneficiou financeiramente do novo coronavírus,Falso
1,Alimentos alcalinos ajudam a prevenir ou tratar a Covid-19.,Falso
2,"Minas Gerais tem menos mortes que São Paulo, embora não tenha adotado medidas de quarentena.",Enganoso
3,"Quando os sintomas do COVID-19 aparecerem, as pessoas devem tomar azitromicina, ivermectina e Anitta.",Falso
4,Beber água e fazer gargarejos com sal ou vinagre não impedem infecção por coronavírus,Falso
5,Médico brasileiro Drauzio Varella afirma ser desnecessário isolamento social,Falso
6,Foto mostra homem que foi curado de COVID-19 por hidroxicloroquina,Parcialmente falso
7,O Ceará teve mais mortes por doenças respiratórias em 2019 e 2018 do que em 2020.,Falso
8,Chá boldo evita o COVID-19.,Falso
9,O chá boldo e o chá de quina quina previnem e até curam o COVID-19.,Falso
10,Agência Nacional de Vigilância Sanitária aprova cloroquina / hidroxicloroquina como tratamento para o COVID-19,Parcialmente falso
11,"Dados mostram que o estado de Minas Gerais tem menos mortes por COVID-19 do que o Ceará, embora não tenha adotado medidas de isolamento.",Falso
12,"As mortes por Covid-19 são causadas por bactérias e, portanto, a doença deve ser tratada com aspirina.",Falso
13,"Ao revogar a permissão para usar a cloroquina em pacientes hospitalizados, o FDA expandiu o uso da droga nos EUA.",Falso
14,"Mike Ryan, diretor da OMS, disse que as medidas de isolamento pioram a pandemia",Falso
15,170 milhões de pessoas se inscreveram para auxílio emergencial da COVID-19 no Brasil.,Falso
16,232 crianças morreram do COVID-19 na Itália em um dia,Falso
17,3.500 italianos potencialmente infectados com o novo coronavírus chegaram ao Brasil em um navio de cruzeiro,Falso
18,Frascos de álcool ou desinfetante para as mãos à base de álcool deixados no interior dos veículos podem pegar foto com o calor do sol.,Falso
19,"O Banco Mundial classificou o Brasil como o melhor país em combate ao COVID-19""""",Falso
20,O presidente brasileiro Jair Bolsonaro disse que os beneficiários de uma ajuda de emergência de R$ 600 para mitigar os efeitos da pandemia de Covid-19 'não gostam de trabalhar'.,Falso
